table,column,value
employee,email,laura@chinookcorp.com
employee,email,nancy@chinookcorp.com
employee,email,jane@chinookcorp.com
employee,email,michael@chinookcorp.com
employee,email,andrew@chinookcorp.com
employee,email,robert@chinookcorp.com
genre,genreid,
genre,name,
invoice,invoiceid,
invoice,customerid,
invoice,invoicedate,
invoice,billingaddress,
invoice,billingcity,
invoice,billingstate,
invoice,billingcountry,
invoice,billingpostalcode,
invoice,total,
invoiceline,invoicelineid,
invoiceline,invoiceid,
invoiceline,trackid,
invoiceline,unitprice,0.99
invoiceline,unitprice,1.99
invoiceline,quantity,1
mediatype,mediatypeid,1
mediatype,mediatypeid,2
mediatype,mediatypeid,3
mediatype,mediatypeid,4
mediatype,mediatypeid,5
mediatype,name,Protected MPEG-4 video file
mediatype,name,Protected AAC audio file
mediatype,name,AAC audio file
mediatype,name,MPEG audio file
mediatype,name,Purchased AAC audio file
playlist,playlistid,1
playlist,playlistid,2
playlist,playlistid,3
playlist,playlistid,4
playlist,playlistid,5
playlist,playlistid,6
playlist,playlistid,7
playlist,playlistid,8
playlist,playlistid,9
playlist,playlistid,10
playlist,playlistid,11
playlist,playlistid,12
playlist,playlistid,13
playlist,playlistid,14
playlist,playlistid,15
playlist,playlistid,16
playlist,playlistid,17
playlist,playlistid,18
playlist,name,TV Shows
playlist,name,Audiobooks
playlist,name,Classical 101 - Deep Cuts
playlist,name,Classical 101 - The Basics
playlist,name,Classical 101 - Next Steps
playlist,name,90’s Music
playlist,name,Classical
playlist,name,Music
playlist,name,Brazilian Music
playlist,name,Grunge
playlist,name,Music Videos
playlist,name,On-The-Go 1
playlist,name,Heavy Metal Classic
playlist,name,Movies
playlisttrack,playlistid,1
playlisttrack,playlistid,3
playlisttrack,playlistid,5
playlisttrack,playlistid,8
playlisttrack,playlistid,9
playlisttrack,playlistid,10
playlisttrack,playlistid,11
playlisttrack,playlistid,12
playlisttrack,playlistid,13
playlisttrack,playlistid,14
playlisttrack,playlistid,15
playlisttrack,playlistid,16
playlisttrack,playlistid,17
playlisttrack,playlistid,18
playlisttrack,trackid,
track,trackid,
track,name,
track,albumid,
track,mediatypeid,1
track,mediatypeid,2
track,mediatypeid,3
track,mediatypeid,4
track,mediatypeid,5
track,genreid,
track,composer,
track,milliseconds,
track,bytes,
track,unitprice,0.99
track,unitprice,1.99
architect,id,3
architect,id,5
architect,id,2
architect,id,4
architect,id,1
architect,name,Mies Van Der Rohe
architect,name,Le Corbusier
architect,name,Frank Lloyd Wright
architect,name,Frank Gehry
architect,name,Zaha Hadid
architect,nationality,American
architect,nationality,"German, American"
architect,nationality,"Swiss, French"
architect,nationality,Canadian
architect,nationality,"Iraqi, British"
architect,gender,female
architect,gender,male
bridge,architect_id,1
bridge,architect_id,2
bridge,architect_id,3
bridge,architect_id,4
bridge,architect_id,5
bridge,id,1
bridge,id,2
bridge,id,3
bridge,id,4
bridge,id,5
bridge,id,6
bridge,id,7
bridge,id,8
bridge,id,9
bridge,id,10
bridge,id,11
bridge,id,12
bridge,id,13
bridge,id,14
bridge,id,15
bridge,name,Stevens Arch
bridge,name,Sipapu Natural Bridge
bridge,name,Aloba Arch
bridge,name,Xian Ren Qiao (Fairy Bridge)
bridge,name,Kolob Arch
bridge,name,Gaotun Natural Bridge
bridge,name,Rainbow Bridge
bridge,name,Landscape Arch
bridge,name,Morning Glory Natural Bridge
bridge,name,Wrather Arch
bridge,name,Hazarchishma Natural Bridge
bridge,name,Outlaw Arch
bridge,name,Snake Bridge
bridge,name,Shipton's Arch
bridge,name,Jiangzhou Arch
bridge,location,"Zion National Park , Utah , USA"
bridge,location,"Ennedi Plateau , Chad"
bridge,location,"Dinosaur National Monument , Colorado , USA"
bridge,location,"Guizhou , China"
bridge,location,"Bamiyan Province , Afghanistan"
bridge,location,"Guangxi , China"
bridge,location,"Natural Bridges National Monument , Utah , USA"
bridge,location,"Escalante Canyon , Utah , USA"
bridge,location,"Wrather Canyon , Arizona , USA"
bridge,location,"Glen Canyon National Recreation Area , Utah , USA"
bridge,location,"Arches National Park , Utah , USA"
bridge,location,"Sanostee , New Mexico , USA"
bridge,location,"Xinjiang , China"
bridge,location,"Negro Bill Canyon , Utah , USA"
bridge,length_meters,64.2
bridge,length_meters,65.0
bridge,length_meters,67.0
bridge,length_meters,69.0
bridge,length_meters,70.0
bridge,length_meters,71.0
bridge,length_meters,74.0
bridge,length_meters,75.0
bridge,length_meters,76.0
bridge,length_meters,87.0
bridge,length_meters,88.0
bridge,length_meters,121.0
bridge,length_meters,62.0
bridge,length_meters,63.0
bridge,length_feet,225.0
bridge,length_feet,290.0
bridge,length_feet,230.0
bridge,length_feet,234.0
bridge,length_feet,204.0
bridge,length_feet,206.0
bridge,length_feet,400.0
bridge,length_feet,210.6
bridge,length_feet,243.0
bridge,length_feet,212.0
bridge,length_feet,246.0
bridge,length_feet,250.0
bridge,length_feet,220.0
bridge,length_feet,287.0
mill,architect_id,1
mill,architect_id,2
mill,architect_id,3
mill,architect_id,4
mill,id,1
mill,id,2
mill,id,3
mill,id,4
mill,id,5
mill,id,6
mill,location,Momalle
mill,location,Coswarem
mill,location,Pousset
mill,location,Othée
mill,location,Fexhe-le-haut-Clocher
mill,location,Donceel
mill,name,Le Vieux Molen
mill,name,Moulin de Fexhe
mill,name,Moulin Bertrand
mill,name,Moulin du Château
mill,name,Moulin de Momalle
mill,name,Moulin de Pousset
mill,type,Bergmolen
mill,type,Grondzeiler
mill,built_year,1856
mill,built_year,1890
mill,built_year,1840
mill,built_year,1843
mill,built_year,1850
mill,built_year,1819
mill,notes,Molenechos (Dutch)
players,player_id,
players,hand,
players,hand,L
players,hand,R
players,hand,U
players,birth_date,
players,country_code,
matches,best_of,3
matches,draw_size,32
matches,draw_size,64
matches,draw_size,128
matches,draw_size,4
matches,draw_size,8
matches,draw_size,12
matches,loser_age,
matches,loser_entry,
matches,loser_hand,L
matches,loser_hand,R
matches,loser_ht,
matches,loser_id,
matches,loser_ioc,
matches,loser_name,
matches,loser_rank,
matches,loser_rank_points,
matches,loser_seed,
matches,match_num,
matches,minutes,
matches,round,F
matches,round,R16
matches,round,BR
matches,round,RR
matches,round,R32
matches,round,QF
matches,round,SF
matches,score,
matches,surface,Clay
matches,surface,Grass
matches,surface,Hard
matches,tourney_date,
matches,tourney_id,
matches,tourney_level,I
matches,tourney_level,P
matches,tourney_level,G
matches,tourney_level,W
matches,tourney_name,
matches,winner_age,
matches,winner_entry,
matches,winner_hand,L
matches,winner_hand,R
matches,winner_ht,
matches,winner_id,
matches,winner_ioc,
matches,winner_name,
matches,winner_rank,
matches,winner_rank_points,
matches,winner_seed,
matches,year,2016
matches,year,2017
matches,year,2013
rankings,ranking_date,
rankings,ranking,
rankings,player_id,
rankings,ranking_points,
rankings,tours,
candidate,candidate_id,1
candidate,candidate_id,2
candidate,candidate_id,3
candidate,candidate_id,4
candidate,candidate_id,5
candidate,candidate_id,6
candidate,people_id,1
candidate,people_id,3
candidate,people_id,4
candidate,people_id,6
candidate,people_id,7
candidate,people_id,9
candidate,poll_source,WNBC/Marist Poll
candidate,poll_source,Newsweek Poll
candidate,poll_source,FOX News/Opinion Dynamics Poll
candidate,date,"Nov 9–10, 2006"
candidate,date,"Feb 13–14, 2007"
candidate,date,"Feb 12–15, 2007"
candidate,support_rate,0.25
candidate,support_rate,0.24
candidate,support_rate,0.33
candidate,support_rate,0.18
candidate,support_rate,0.17
candidate,consider_rate,0.3
candidate,consider_rate,0.27
candidate,consider_rate,0.34
candidate,consider_rate,0.2
candidate,consider_rate,0.42
candidate,oppose_rate,0.43
candidate,oppose_rate,0.45
candidate,oppose_rate,0.32
candidate,oppose_rate,0.44
candidate,unsure_rate,0.2
candidate,unsure_rate,0.9
candidate,unsure_rate,0.3
candidate,unsure_rate,0.4
people,people_id,1
people,people_id,2
people,people_id,3
people,people_id,4
people,people_id,5
people,people_id,6
people,people_id,7
people,people_id,8
people,people_id,9
people,sex,M
people,sex,F
people,name,Laurent Capet
people,name,Hubert Henno
people,name,Frantz Granvorka
people,name,Loïc De Kergret
people,name,Guillaume Samica
people,name,Stéphane Antiga
people,name,Philippe Barça-Cysique
people,name,Dominique Daquin
people,name,Vincent Montméat
people,date_of_birth,03.02.1976
people,date_of_birth,22.04.1977
people,date_of_birth,28.09.1981
people,date_of_birth,10.11.1972
people,date_of_birth,10.03.1976
people,date_of_birth,01.09.1977
people,date_of_birth,20.08.1970
people,date_of_birth,05.05.1972
people,date_of_birth,06.10.1976
people,height,193.0
people,height,194.0
people,height,195.0
people,height,196.0
people,height,197.0
people,height,200.0
people,height,202.0
people,height,188.0
people,weight,82.0
people,weight,83.0
people,weight,85.0
people,weight,88.0
people,weight,89.0
people,weight,90.0
people,weight,92.0
people,weight,94.0
chip_model,model_name,X3 Advanced
chip_model,model_name,X51 low-end
chip_model,model_name,X30 mid-range
chip_model,model_name,X5
chip_model,model_name,X51 mid-range
chip_model,model_name,X51v
chip_model,model_name,X3i
chip_model,model_name,X50 Advanced
chip_model,model_name,X3 Basic
chip_model,model_name,X30 low-end
chip_model,model_name,X5 high end
chip_model,model_name,X50 Standard
chip_model,model_name,X30 high-end
chip_model,model_name,X50v
chip_model,launch_year,2002.0
chip_model,launch_year,2003.0
chip_model,launch_year,2004.0
chip_model,launch_year,2005.0
chip_model,ram_mib,32.0
chip_model,ram_mib,64.0
chip_model,rom_mib,32.0
chip_model,rom_mib,256.0
chip_model,rom_mib,64.0
chip_model,rom_mib,128.0
chip_model,rom_mib,48.0
chip_model,slots,1SD
chip_model,slots,"1CFII,1SD"
chip_model,wifi,802.11b
chip_model,wifi,No
chip_model,bluetooth,Yes
chip_model,bluetooth,No
chip_model,bluetooth,1.2
chip_model,bluetooth,1.1
screen_mode,graphics_mode,0.0
screen_mode,graphics_mode,1.0
screen_mode,graphics_mode,2.0
screen_mode,graphics_mode,3.0
screen_mode,graphics_mode,4.0
screen_mode,graphics_mode,5.0
screen_mode,graphics_mode,6.0
screen_mode,char_cells,80 × 25
screen_mode,char_cells,40 × 32
screen_mode,char_cells,80 × 32
screen_mode,char_cells,40 × 25
screen_mode,char_cells,20 × 32
screen_mode,pixels,320 × 200
screen_mode,pixels,320 × 256
screen_mode,pixels,160 × 256
screen_mode,pixels,640 × 200
screen_mode,pixels,640 × 256
screen_mode,hardware_colours,8.0
screen_mode,hardware_colours,2.0
screen_mode,hardware_colours,4.0
screen_mode,used_kb,16.0
screen_mode,used_kb,8.0
screen_mode,used_kb,10.0
screen_mode,used_kb,20.0
screen_mode,map,5800–7FFF
screen_mode,map,4000–7FFF
screen_mode,map,6000–7FFF
screen_mode,map,3000–7FFF
screen_mode,type,Graphics
screen_mode,type,Text
phone,company_name,LG Electronics
phone,company_name,Nokia Corporation
phone,company_name,Samsung Electronics Co Ltd
phone,company_name,Sony Mobile Communications
phone,company_name,HTC Corporation
phone,company_name,Huawei Technologies Co.Ltd.
phone,hardware_model_name,GT-I9100
phone,hardware_model_name,GT-I9300
phone,hardware_model_name,Z520e
phone,hardware_model_name,Nokia 700
phone,hardware_model_name,LG-P760
phone,hardware_model_name,U8815 Asura
phone,hardware_model_name,"Lumia 920, Lumia 820, Lumia 620"
phone,hardware_model_name,"XPERIA T, XPERIA J"
phone,accreditation_type,Full
phone,accreditation_type,Provisional
phone,accreditation_level,joyn
phone,accreditation_level,joyn Hot Fixes
phone,date,Approved (awarded 15.11.12)
phone,date,Approved (valid until 06.04.13)
phone,date,Approved (valid until 03.05.13)
phone,date,Approved (awarded 23.10.12)
phone,date,Approved (awarded 05.12.12)
phone,date,Approved (valid until 14.09.13)
phone,date,Approved (awarded 19.11.12)
phone,chip_model,X5
phone,chip_model,X51v
phone,chip_model,X3i
phone,chip_model,X50 Advanced
phone,chip_model,X30 low-end
phone,chip_model,X50 Standard
phone,screen_mode,3
phone,screen_mode,5
phone,screen_mode,6
phone,screen_mode,2
phone,screen_mode,4
phone,screen_mode,1
highschooler,id,1025
highschooler,id,1316
highschooler,id,1381
highschooler,id,1510
highschooler,id,1661
highschooler,id,1641
highschooler,id,1101
highschooler,id,1709
highschooler,id,1934
highschooler,id,1782
highschooler,id,1911
highschooler,id,1304
highschooler,id,1689
highschooler,id,1468
highschooler,id,1501
highschooler,id,1247
highschooler,name,Gabriel
highschooler,name,Tiffany
highschooler,name,Brittany
highschooler,name,Cassandra
highschooler,name,Jordan
highschooler,name,Kyle
highschooler,name,Alexis
highschooler,name,John
highschooler,name,Kris
highschooler,name,Haley
highschooler,name,Jessica
highschooler,name,Andrew
highschooler,name,Logan
highschooler,name,Austin
highschooler,grade,9
highschooler,grade,10
highschooler,grade,11
highschooler,grade,12
friend,student_id,1316
friend,student_id,1381
friend,student_id,1510
friend,student_id,1661
friend,student_id,1709
friend,student_id,1101
friend,student_id,1934
friend,student_id,1782
friend,student_id,1911
friend,student_id,1304
friend,student_id,1689
friend,student_id,1468
friend,student_id,1501
friend,student_id,1247
friend,friend_id,1025
friend,friend_id,1316
friend,friend_id,1381
friend,friend_id,1661
friend,friend_id,1641
friend,friend_id,1709
friend,friend_id,1101
friend,friend_id,1934
friend,friend_id,1782
friend,friend_id,1911
friend,friend_id,1304
friend,friend_id,1689
friend,friend_id,1468
friend,friend_id,1501
friend,friend_id,1247
likes,student_id,1025
likes,student_id,1316
likes,student_id,1641
likes,student_id,1709
likes,student_id,1934
likes,student_id,1782
likes,student_id,1911
likes,student_id,1689
likes,student_id,1501
likes,student_id,1247
likes,liked_id,1709
likes,liked_id,1934
likes,liked_id,1101
likes,liked_id,1304
likes,liked_id,1689
likes,liked_id,1468
likes,liked_id,1501
likes,liked_id,1247
device,device_id,1
device,device_id,2
device,device_id,3
device,device_id,4
device,device_id,5
device,device_id,6
device,device,Galaxy
device,device,Xiaomi
device,device,Huawei
device,device,Samsung
device,device,BlackBerry Storm 9530
device,device,Apple
device,carrier,Vodafone AU
device,carrier,Bell Mobility
device,carrier,MTS Mobility
device,carrier,Telus Mobility
device,carrier,Verizon Wireless
device,carrier,Iusacell
device,package_version,5.0.0.742
device,package_version,4.7.0.208
device,package_version,5.0.0.419
device,package_version,5.0.0.808
device,package_version,5.0.0.328
device,applications,5.0.0.328
device,applications,4.7.0.151
device,applications,5.0.0.451
device,applications,5.0.0.419
device,software_platform,iOS
device,software_platform,Android
shop,shop_id,1
shop,shop_id,2
shop,shop_id,3
shop,shop_id,4
shop,shop_id,5
shop,shop_id,6
shop,shop_id,7
shop,shop_id,8
shop,shop_id,9
shop,shop_id,10
shop,shop_id,11
shop,shop_id,12
shop,shop_name,Dinas store
shop,shop_name,Naval's shop
shop,shop_name,ATnT
shop,shop_name,Pentre store
shop,shop_name,National Cellphone
shop,shop_name,Ferndale
shop,shop_name,Apple
shop,shop_name,Naval repair
shop,shop_name,Tynewydd repair
shop,shop_name,Best Buy
shop,shop_name,Gelli repair
shop,shop_name,Dinas Device
shop,location,Penygraig
shop,location,Blaenllechau
shop,location,Wattstown
shop,location,Porth
shop,location,Cymmer
shop,location,Dinas
shop,location,Pentre
shop,location,Maerdy
shop,location,Gelli
shop,open_date,10 December
shop,open_date,27 January
shop,open_date,24 February
shop,open_date,15 July
shop,open_date,21 August
shop,open_date,8 November
shop,open_date,10 June
shop,open_date,11 April
shop,open_date,13 January
shop,open_date,18 February
shop,open_date,23–24 December
shop,open_date,1 January
shop,open_year,2017
shop,open_year,2006
shop,open_year,2007
shop,open_year,2009
shop,open_year,2010
shop,open_year,2011
shop,open_year,2013
shop,open_year,2014
shop,open_year,2015
stock,shop_id,1
stock,shop_id,2
stock,shop_id,3
stock,shop_id,4
stock,shop_id,9
stock,shop_id,11
stock,device_id,4
stock,device_id,6
stock,quantity,100
stock,quantity,134
stock,quantity,200
stock,quantity,110
stock,quantity,112
stock,quantity,51
stock,quantity,56
stock,quantity,124
item,i_id,0
item,i_id,1
item,i_id,2
item,i_id,3
item,i_id,4
item,i_id,5
item,i_id,6
item,i_id,7
item,title,pear
item,title,orange
item,title,apple
item,title,cup
item,title,avocado
item,title,blue hoodie
item,title,comb
item,title,shampoo
review,a_id,1
review,a_id,2
review,a_id,3
review,a_id,4
review,a_id,5
review,a_id,6
review,a_id,7
review,u_id,1
review,u_id,2
review,i_id,1
review,i_id,3
review,i_id,4
review,i_id,5
review,i_id,7
review,rating,10
review,rating,5
review,rating,6
review,rating,7
review,rank,1
review,rank,2
review,rank,3
review,rank,4
review,rank,5
review,rank,6
review,rank,7
useracct,u_id,1
useracct,u_id,2
useracct,u_id,3
useracct,u_id,4
useracct,u_id,5
useracct,u_id,6
useracct,u_id,7
useracct,name,Nancy
useracct,name,Rosie
useracct,name,Terry
useracct,name,Mark
useracct,name,Emily
useracct,name,Helen
useracct,name,Roxi
trust,source_u_id,1
trust,source_u_id,2
trust,source_u_id,3
trust,source_u_id,6
trust,source_u_id,7
trust,target_u_id,2
trust,target_u_id,3
trust,target_u_id,4
trust,target_u_id,5
trust,target_u_id,6
trust,trust,1
trust,trust,2
trust,trust,3
trust,trust,4
trust,trust,6
trust,trust,7
trust,trust,8
trust,trust,10
genre,g_name,nazrul
genre,g_name,tagore
genre,g_name,pop
genre,g_name,modern
genre,g_name,folk
genre,g_name,blues
genre,rating,8
genre,rating,7
genre,rating,9
genre,most_popular_in,"Sylhet,Chittagong,Kustia"
genre,most_popular_in,Bangladesh
genre,most_popular_in,America
genre,most_popular_in,Canada
artist,artist_name,Prity
artist,artist_name,Topu
artist,artist_name,Enrique
artist,artist_name,Shrikanta
artist,artist_name,Farida
artist,artist_name,Michel
artist,country,India
artist,country,Bangladesh
artist,country,USA
artist,country,UK
artist,gender,Male
artist,gender,Female
artist,preferred_genre,nazrul
artist,preferred_genre,tagore
artist,preferred_genre,pop
artist,preferred_genre,modern
artist,preferred_genre,folk
artist,preferred_genre,blues
files,f_id,1
files,f_id,2
files,f_id,3
files,f_id,4
files,f_id,5
files,f_id,6
files,artist_name,Prity
files,artist_name,Topu
files,artist_name,Enrique
files,artist_name,Shrikanta
files,artist_name,Farida
files,artist_name,Michel
files,file_size,4.12 MB
files,file_size,4.58 MB
files,file_size,5.10 MB
files,file_size,3.69 MB
files,file_size,4.10 MB
files,file_size,3.78 MB
files,duration,4:34
files,duration,4:12
files,duration,5:23
files,duration,2:56
files,duration,4:30
files,duration,3:45
files,formats,mp3
files,formats,mp4
song,song_name,Ami opar hoye
song,song_name,Tumi robe nirobe
song,song_name,Shukno patar nupur pae
song,song_name,My love
song,song_name,Just beat it
song,song_name,Aj ei akash
song,artist_name,Prity
song,artist_name,Topu
song,artist_name,Enrique
song,artist_name,Shrikanta
song,artist_name,Farida
song,artist_name,Michel
song,country,India
song,country,Bangladesh
song,country,USA
song,country,UK
song,f_id,1
song,f_id,2
song,f_id,3
song,f_id,4
song,f_id,5
song,f_id,6
song,genre_is,nazrul
song,genre_is,tagore
song,genre_is,pop
song,genre_is,modern
song,genre_is,folk
song,genre_is,blues
song,rating,5
song,rating,6
song,rating,7
song,rating,8
song,rating,10
song,languages,english
song,languages,bangla
song,releasedate,17-MAR-2002
song,releasedate,24-JAN-2007
song,releasedate,21-SEP-1997
song,releasedate,28-AUG-2011
song,releasedate,7-APR-2001
song,releasedate,27-MAR-2004
song,resolution,1080
song,resolution,512
song,resolution,320
song,resolution,720
inst,instid,1060
inst,instid,1030
inst,instid,1000
inst,instid,1070
inst,instid,1040
inst,instid,1010
inst,instid,1050
inst,instid,1020
inst,name,Portland State University
inst,name,Google
inst,name,University of Pennsylvania
inst,name,Indiana University
inst,name,INRIA
inst,name,Tohoku University
inst,name,Northeastern University
inst,name,University of Oxford
inst,country,USA
inst,country,Japan
inst,country,France
inst,country,UK
authors,authid,50
authors,authid,51
authors,authid,52
authors,authid,53
authors,authid,54
authors,authid,55
authors,authid,56
authors,authid,57
authors,authid,58
authors,authid,59
authors,authid,60
authors,authid,61
authors,authid,62
authors,lname,Sheard
authors,lname,Hinze
authors,lname,Ahmed
authors,lname,Yorgey
authors,lname,Weirich
authors,lname,Blume
authors,lname,James
authors,lname,Shivers
authors,lname,Ohori
authors,lname,Gibbons
authors,lname,Turon
authors,lname,Pouillard
authors,lname,Ueno
authors,fname,Nicolas
authors,fname,Aaron
authors,fname,Stephanie
authors,fname,Brent
authors,fname,Tim
authors,fname,Amal
authors,fname,Ralf
authors,fname,Daniel W. H.
authors,fname,Olin
authors,fname,Matthias
authors,fname,Jeremy
authors,fname,Katsuhiro
authors,fname,Atsushi
papers,paperid,200
papers,paperid,201
papers,paperid,202
papers,paperid,203
papers,paperid,204
papers,paperid,205
papers,paperid,206
papers,title,Making Standard ML a Practical Database Programming Language
papers,title,Proving the Unique Fixed-Point Principle Correct: An Adventure with Category Theory
papers,title,Binders Unbound
papers,title,Just do it: Simple Monadic Equational Reasoning
papers,title,An Equivalence-Preserving CPS Translation via Multi-Language Semantics
papers,title,"Nameless, Painless"
papers,title,Functional Pearl: Modular Rollback through Control Logging
authorship,authid,50
authorship,authid,51
authorship,authid,52
authorship,authid,53
authorship,authid,54
authorship,authid,55
authorship,authid,56
authorship,authid,57
authorship,authid,58
authorship,authid,59
authorship,authid,60
authorship,authid,61
authorship,authid,62
authorship,instid,1060
authorship,instid,1030
authorship,instid,1000
authorship,instid,1070
authorship,instid,1040
authorship,instid,1010
authorship,instid,1050
authorship,instid,1020
authorship,paperid,200
authorship,paperid,201
authorship,paperid,202
authorship,paperid,203
authorship,paperid,204
authorship,paperid,205
authorship,paperid,206
authorship,authorder,1
authorship,authorder,2
authorship,authorder,3
buildings,id,1
buildings,id,2
buildings,id,3
buildings,id,4
buildings,id,5
buildings,id,6
buildings,id,7
buildings,id,8
buildings,id,9
buildings,id,10
buildings,id,11
buildings,id,12
buildings,name,Torre New York Life
buildings,name,Punto Chapultepec
buildings,name,Torre Reforma
buildings,name,Corporativo BBVA Bancomer
buildings,name,Torre Mitikah
buildings,name,Residencial Vidalta Torre Altaire 3
buildings,name,Reforma 90
buildings,name,Residencial Vidalta Torre Altaire 2
buildings,name,Reforma 432
buildings,name,Torre KOI
buildings,name,Ritz-Carlton Mexico City
buildings,name,LIU East
buildings,city,Mexico City
buildings,city,Monterrey
buildings,height,100
buildings,height,200
buildings,height,73
buildings,height,330
buildings,height,300
buildings,height,210
buildings,height,50
buildings,height,150
buildings,height,220
buildings,stories,34
buildings,stories,67
buildings,stories,100
buildings,stories,6
buildings,stories,42
buildings,stories,44
buildings,stories,50
buildings,stories,20
buildings,stories,57
buildings,stories,59
buildings,stories,60
buildings,status,under construction
buildings,status,proposed
buildings,status,on-hold
companies,id,1
companies,id,2
companies,id,3
companies,id,4
companies,id,5
companies,id,6
companies,id,7
companies,id,8
companies,id,9
companies,id,10
companies,id,11
companies,id,12
companies,id,13
companies,id,14
companies,id,15
companies,id,16
companies,id,17
companies,id,18
companies,id,19
companies,name,Citigroup
companies,name,HSBC
companies,name,Petrobras
companies,name,Berkshire Hathaway
companies,name,Santander Group
companies,name,Royal Dutch Shell
companies,name,Chevron
companies,name,BNP Paribas
companies,name,Industrial and Commercial Bank of China
companies,name,China Construction Bank
companies,name,PetroChina
companies,name,ExxonMobil
companies,name,JPMorgan Chase
companies,name,Wells Fargo
companies,name,General Electric
companies,name,Walmart
companies,name,AT&T Inc.
companies,name,Gazprom
companies,name,Total
companies,headquarters,Netherlands
companies,headquarters,Russia
companies,headquarters,UK
companies,headquarters,China
companies,headquarters,Spain
companies,headquarters,Brazil
companies,headquarters,USA
companies,headquarters,France
companies,industry,Retailing
companies,industry,Telecommunications
companies,industry,Oil and gas
companies,industry,Conglomerate
companies,industry,Banking
companies,sales_billion,130.4
companies,sales_billion,136.2
companies,sales_billion,156.2
companies,sales_billion,421.8
companies,sales_billion,58.2
companies,sales_billion,188.1
companies,sales_billion,189.6
companies,sales_billion,69.2
companies,sales_billion,341.6
companies,sales_billion,93.2
companies,sales_billion,222.3
companies,sales_billion,98.7
companies,sales_billion,103.3
companies,sales_billion,109.7
companies,sales_billion,111.5
companies,sales_billion,369.1
companies,sales_billion,115.5
companies,sales_billion,121.3
companies,sales_billion,124.3
companies,profits_billion,14.2
companies,profits_billion,10.6
companies,profits_billion,11.6
